N, xtrie_insert_time, ytrie_insert_time, bst_insert_time, xtrie_succ_time, ytrie_succ_time, bst_succ_time
1024, 0.02, 0, 0, 0, 0, 0
2048, 0.06, 0.01, 0, 0, 0, 0.01
4096, 0.11, 0.02, 0.01, 0, 0, 0
8192, 0.23, 0.03, 0, 0.01, 0.02, 0.01
16384, 0.57, 0.07, 0.02, 0.02, 0.02, 0
32768, 1.33, 0.13, 0.04, 0.06, 0.05, 0.01
65536, 2.88, 0.26, 0.07, 0.11, 0.1, 0.03
131072, 0, 0.54, 0.14, 0, 0.2, 0.07
262144, 0, 1.12, 0.34, 0, 0.42, 0.16
524288, 0, 2.46, 0.79, 0, 0.95, 0.39
1048576, 0, 5.32, 1.78, 0, 2.1, 0.96
2097152, 0, 0, 3.94, 0, 0, 2.24
4194304, 0, 0, 8.53, 0, 0, 5.09
8388608, 0, 0, 18.57, 0, 0, 11.51
16777216, 0, 0, 40.29, 0, 0, 26.32
33554432, 0, 0, 89.39, 0, 0, 61.89
67108864, 0, 0, 207.37, 0, 0, 153.54
